,input,true,prediction
129,matriyirunthathaagavum,மாற்றியிருந்ததாகவும்,"மற்றியிருந்ததாகவும்
"
130,shaavai,ஷாவை,"ஷாவை
"
131,panimanai,பணிமனை,"பணிமணை
"
132,saliththollaikaana,சளித்தொல்லைக்கான,"சலித்தொல்லைகான
"
133,chitranshi,சித்ரான்ஷி,"சித்ரான்ஷி
"
134,narampukal,நரம்புகள்,"நரம்புகள்
"
135,andri,அன்றி,"அன்றி
"
136,kaithal,கைதல்,கைத்்ல
137,ananrtham,அனர்த்தம்,"அனந்தம்
"
138,cork,கார்க்,"கோர்க்
"
139,beepi,பீபி,"பீபி
"
140,sasanka,சசாங்கா,"சசங்கா
"
141,under,அண்டர்,"உண்டர்
"
142,yoagaththin,யோகத்தின்,"யோகத்தின்
"
143,renton,ரெண்டன்,"ரெண்டன்
"
144,magaaveer,மகாவீர்,"மகாவீர்
"
145,saashai,சாஸை,"சாஷை
"
146,basirhat,பசிர்ஹட்,"பாிிரத்
"
147,panigalukkum,பணிகளுக்கும்,"பணிகளுக்கும்
"
148,kulamum,குளமும்,"குலமும்
"
149,kayitrril,கயிற்றில்,"கயிற்றில்
"
150,vilaiyaadudhal,விளையாடுதல்,"விளையாடுதல்
"
151,fitzgerald,பிட்ஸ்ஜெரால்ட்,"பிட்டெரல்்ட்
"
152,modern,மாடன்,"மோடென்
"
153,kota,கோடா,"கோட்டா
"
154,kartu,சிம்,"கார்டு
"
155,kalluriyaga,கல்லூரியாக,"கல்லுரியாக
"
156,iththittathirkku,இத்திட்டத்திற்கு,"இத்திட்டதிற்கு
ு
"
157,thanithaniyaga,தனித்தனியாக,"தனிதனியகக
"
158,kark,கார்க்,"கார்க்
"
159,vaelaiyin,வேலையின்,"வேலையின்
"
160,maattruvathai,மாற்றுவதை,"மாற்றுவதை
"
161,uruppugal,உறுப்புகள்,"உருப்புகள்
"
162,vaippaar,வைப்பார்,"வைப்பார்
"
163,braamanarkalum,பிராமணர்களும்,"பிராமணர்களும்
"
164,adiyiliyaal,அடியிலியால்,"அடியிலியால்
"
165,kezh,கேள்,"கேழ்
"
166,thadaip,தடைப்,"தடைப்
"
167,panguthaarargal,பங்குதாரர்கள்,"பங்குதாரர்கள்
"
168,pudhuvaiyai,புதுவையை,"புதுவையை
"
169,thadaipattathu,தடைபட்டது,"தடைபட்டது
"
170,kaimari,கைமாறி,"கைமாிி
"
171,ouil,ஆயில்,"யில்
"
172,santos,சான்டோஸ்,"சா்டோ்்
"
173,seithiyaalargalukum,செய்தியாளர்களுக்கும்,"செய்தியாளர்களுகும்
"
174,pudhumaigalai,புதுமைகளை,"புதுமைகளை
"
175,meemanjai,மீமாஞ்சை,"மீமஞ்சை
"
176,padhivar,பதிவர்,"பதிவர்
"
177,seluththappadavendum,செலுத்தப்படவேண்டும்,"செலுத்தப்படவேண்டும்
"
178,thoguppin,தொகுப்பின்,"தொகுப்பின்
"
179,eduththirukkirathu,எடுத்திருக்கிறது,"எடுத்திருக்கிறது
"
180,chudalai,சுடலை,"சுடலை
"
181,yokkiyargalukku,யோக்கியர்களுக்கு,"யோக்கியர்களுக்கு
"
182,ippothea,இப்போதே,"இப்பொதே
"
183,anupiyullathu,அனுப்பியுள்ளது,"அனுபியுள்ளது
"
184,leakin,லீக்கின்,"லேகககி்
"
185,anuraathapuram,அனுராதபுரம்,"அனுராதபுரம்
"
186,oliparappittu,ஒளிபரப்பிட்டு,"ஒளிபரப்பிட்டு
"
187,nanmaigalaip,நன்மைகளைப்,"நன்மைகளைப்
"
188,gooldain,கோல்டன்,"கோல்டைன்
"
189,uruvaakkaththirku,உருவாக்கத்திற்கு,"உருவாக்கத்திற்கு
"
190,maraala,மரால,"மரால
"
191,santana,சான்டானா,"சண்டன
"
192,paes,ஃபேஸ்,"பே்்
"
193,vikraman,விக்கிரமன்,"விக்ராம்
"
194,azhugai,அழுகை,"அழுகை
"
195,oruvar,ஒருவா்,"ஒருவர்
"
196,bayangaravaathigal,பயங்கரவாதிகள்,"பயங்கரவாதிகள்
"
197,jappaanin,ஜப்பானின்,"ஜப்பானின்
"
198,bisiyaaga,பிசியாக,"பிசியாக
"
199,wells,வெல்ஸ்,"வெல்ச்
்"
200,pasukkalin,பசுக்களின்,"பசுக்களின்
"
201,enggo,எங்கோ,"எங்கோ
"
202,hempstead,ஹெம்ப்ஸ்டெட்,"ஹெம்ப்்்டடட்
"
203,kidanthanar,கிடந்தனர்,"கிடந்தனர்
"
204,kuriththullaargal,குறித்துள்ளார்கள்,"குரித்துள்ளார்கள்
"
205,dae,டை,"டே
"
206,kadidhamum,கடிதமும்,"கடிதமும்
"
207,alakiyaana,அழகியான,"அலகியான
"
208,sangaththai,சங்கத்தை,"சங்கத்தை
"
209,thirunthiyirikkirar,திருந்தியிருக்கிறார்,"திருந்தியிரிக்கிறர்
"
210,masuthiyai,மசூதியை,"மசுதியை
"
211,thogaiyaanthu,தொகையானது,"தொகையாந்து
"
212,adhumattumalla,அதுமட்டுமல்ல,"அதுமட்டுமல்ல
"
213,odissi,ஒடிசி,"ஒடிச்சி
"
214,samapangku,சமபங்கு,"சமபங்கு
"
215,kedaaiyaa,கெடாய்ய,"கேடாய்யா
"
216,soazhargalukku,சோழர்களுக்கு,"சோழர்களுக்கு
"
217,aarppaattangal,ஆர்ப்பாட்டங்கள்,"ஆர்ப்பாட்டங்கள்
"
218,dhakshinaamoorthy,தட்சிணாமூர்த்தி,"தக்ஷினாமூர்தியி
"
219,kaithigalai,கைதிகளை,"கைதிகளை
"
220,pazhani,பழநி,"பழனி
"
221,seenitthovai,சீனித்தொவை,"சீனித்தோவை
"
222,gaines,கைனெஸ்,"கைணே்்
"
223,ezhuthiyirukkiraargal,எழுதியிருக்கிறார்கள்,"எழுதியிருக்கிறார்கள்
"
224,kakinada,காகினாடா,"கககிணா
"
225,kidaikkaadhadhaal,கிடைக்காததால்,"கிடைக்காததால்
"
226,tayde,டேடே,"தயட்

"
227,pirammaththai,பிரம்மத்தை,"பிரம்மத்தை
"
228,moolzhgadikkappatta,மூழ்கடிக்கப்பட்ட,"மூல்க்கடிக்கப்பட்ட
"
229,kontirunta,உறங்கிக்,"கொண்டிருண்ட
"
230,piraroodu,பிறரோடு,"பிரரூடு
"
231,matkalangaley,மட்கலன்களே,"மட்கலங்களேய்
"
232,kaaranamaagum,காரணமாகும்,"காரணமாகும்
"
233,ayiathimuka,அஇஅதிமுக,"அயியதிமுக
"
234,loova,லோவ,"லோவா
"
235,meenkalaiyum,மீன்களையும்,"மீன்களையும்
"
236,vakuththaal,வகுத்தால்,"வகுத்தால்
"
237,muthalvarai,முதல்வரை,"முதல்வரை
"
238,kaattrae,காற்றே,"காற்றே
"
239,thalaynagaram,தலைநகரம்,தளயய்கரரர்்
240,thiranaaligalukkaana,மாற்றுத்,"திரணாளிகளுக்கான
"
241,atkinson,அட்கின்சன்,"அட்கின்சொன்
"
242,yuuee,யூ,"யூயீ
"
243,kurukkup,குறுக்குப்,"குருக்குப்
"
244,fertilizers,ஃபெர்டிலைசர்ஸர்ஸ்,"பெர்டிலிலே்்்
"
245,lancaster,லான்செஸ்டர்,லா்்ச்டரர்
246,kanavanathu,கணவனது,"கணவனது
"
247,thuruvam,துருவம்,"துருவம்
"
248,thulai,துளை,"துளை
"
249,sarbia,செர்பியா,"சர்பியா
"
250,thunburuththal,துன்புறுத்தல்,"துன்புறுத்தல்
"
251,kampalattu,கம்பளத்து,"கம்பலாட்டு
"
252,yoorik,யூரிக்,"யூரிக்
"
253,koottappatta,கூட்டப்பட்ட,"கூட்டப்பட்ட
"
254,agachchiththarippu,அகச்சித்தரிப்பு,"அகச்சித்தரிப்புபு
"
255,uraiyaadalgalai,உரையாடல்களை,"உரையாடல்களை
"
256,seyalpatatha,செயல்படாத,"செயல்படத
"
257,kaalakattaththil,காலகட்டத்தில்,"காலகட்டத்தில்
"
258,pesinen,பேசினேன்,"பெசினென்
"
259,karuthippaarththu,கருதிப்பார்த்து,"கருதிப்பார்த்து
"
260,rivas,ரிவாஸ்,"ரிவா்்
"
261,arellano,அரில்லானோ,"அரேல்லனன

"
262,symon,சைமன்,"ச்ம்னன்
"
263,saaradhigal,சாரதிகள்,"சாரதிகள்
"
264,vaethangkalil,வேதங்களில்,"வேதங்களில்
"
265,seyalpaduthal,செயல்படுதல்,"செயல்படுதல்
"
266,vendum,குளிக்க,"வெண்டும்
"
267,ekapoakam,ஏகபோகம்,"எகபோகம்
"
268,thankich,தங்கிச்,"தங்கிச்ச்
"
269,therinthirunthavar,தெரிந்திருந்தவர்,"தெரிந்திருந்தவர்
"
270,puunakariyil,பூநகரியில்,"பூனகரியில்
"
271,porundhavillai,பொருந்தவில்லை,"பொருந்தவில்லை
"
272,pinvaanginaar,பின்வாங்கினார்,"பின்வாங்கினார்
"
273,koppai,கோப்பை,"கொப்பை
"
274,matravargalaith,மற்றவர்களைத்,"மற்றவர்களைத்
"
275,weils,வெல்ஷ்,"வெய்ல்
"
276,kilappi,கிளப்பி,"கிளப்பி
"
277,varukinrana,உலா,"வருகின்றன
"
278,puratti,புரட்டி,"புரா்டி
"
279,kalviyaandu,கல்வியாண்டு,"கல்வியாண்டு
"
280,naangalum,நாங்களும்,"நான்களும்
"
281,uruvaakkal,உருவாக்கல்,"உருவாக்கள்
"
282,laal,ளால்,"லால்
"
283,varuvaay,வருவாய்,"வருவாய்
"
284,poivittaar,போய்விட்டார்,"பொய்விட்டார்
"
285,wheel,வீல்,"வீல்
"
286,mishra,மிஸ்ரா,"மிஷ்ரா
"
287,solren,சொல்றேன்,"சொல்ரென்
"
288,kaividappadugiraargal,கைவிடப்படுகிறார்கள்,"கைவிடப்படுகிறார்கள்
"
289,seiyappattiruppaar,செய்யப்பட்டிருப்பார்,"செய்யப்பட்டிருப்பார்
"
290,aarvaththaik,ஆர்வத்தைக்,"ஆர்வத்தைக்
"
291,vaattara,வாட்டர்ஸ்,"வாட்டர
"
292,paantavarkalai,பாண்டவர்களை,"பாண்டவர்களை
"
293,pathikkaththaan,பதிக்கத்தான்,"பதிக்கத்தான்
"
294,ezhuthiyulla,எழுதியுள்ள,"எழுதியுள்ள
"
295,gudepu,குடேபு,"குடேபு
"
296,alambiththudaiththu,அலம்பித்துடைத்து,"அளம்பித்துடைத்து
"
297,kallurigazhum,கல்லூரிகளும்,"கல்லுரிகழும்
"
298,deerfield,டீர்ஃபீல்டு,"தீர்பில்ட்
"
299,raentam,ரேண்டம்,"ரேண்டம்
"
300,padigalin,படிகளின்,"படிகளின்
"
301,isuzu,இசுசூ,"இசுழு
"
302,moorththikal,மூர்த்திகள்,"மூர்த்திகள்
"
303,therkkilirundhu,தெற்கிலிருந்து,"தெர்க்கிலிருந்து
"
304,laqchhami,லட்சுமி,"லக்சமிிி
"
305,valinadaththi,வழிநடத்தி,"வளிநடத்தி
"
306,emilie,எமிலி,எமிலிய
307,gardan,கார்டன்,கார்டா்்
308,santharppankal,சந்தர்ப்பங்கள்,"சந்தர்ப்பண்கள்
"
309,pirachurankal,பிரசுரங்கள்,"பிரச்சுரங்கள்
"
310,kavalaiye,கவலையே,"கவலையே
"
311,ezhundhukkum,எழுந்துக்கும்,"எழுந்துக்கும்
"
312,gudd,குட்,"குட்ட்
"
313,dasila,டசில்லா,"டேசிலா
"
314,vetridaththil,வெற்றிடத்தில்,"வெற்றிடத்தில்
"
315,chennai,சென்னை,"சென்னை
"
316,unarndhirundhaan,உணர்ந்திருந்தான்,"உணர்ந்திருந்தான்
"
317,kelvih,கேள்விஃ,"கேல்விவ்
"
318,texas,டெக்சாஸ்,"டெக்கா்்
"
319,matravargal,மற்றவர்கள்,"மற்றவர்கள்
"
320,adiyum,அடியும்,"அடியும்
"
321,earkanavae,ஏற்கனவே,"ஏற்கணவே
"
322,santhan,சாந்தன்,"சந்தன்
"
323,wedik,வேதக்,"வெடிக்
"
324,kaavalthuraik,காவல்துறைக்,"காவல்துரைக்
"
325,thodarpalar,தொடர்பாளர்,"தொடர்பலர்
"
326,karanamaakum,காரணமாகும்,"கரணமாகும்
"
327,shimman,சிம்மன்,"ஷிம்மன்
"
328,patrick,பேட்ரிக்,"பா்்ிக்க்
"
329,lamb,லாம்ப்,"லாம்
"
330,balmer,பால்மெர்,"பா்்ரர்
"
331,vitum,கலந்து,"விட்மும்
"
332,redding,ரெட்டிங்,"ரெட்டிங்
"
333,kadidhangalum,கடிதங்களும்,"கடிதங்களும்
"
334,birlasoft,பிர்லாஸாஃப்ட்,"பிர்லாோ்்்்
"
335,sollappadupavargalum,சொல்லப்படுவர்களும்,"சொல்லப்படுபவ்களுமும்
"
336,prabhoo,பிரபு,"பிராபோ
"
337,redwood,ரெட்வுட்,"ரெட்வூட்
"
338,kalra,கல்ரா,"கல்ரா
"
339,napa,நபா,"நபபா
"
340,nigazhchiyum,நிகழ்ச்சியும்,"நிகழ்ச்சியும்
"
341,mutiyala,முடியல,"முடியல
"
342,perundhaabam,பெருந்தாபம்,"பெருந்தாபம்
"
343,harres,ஹாரிஸ்,"ஹரரர்்்
"
344,solvathaga,சொல்வதாக,"சொல்வதக
"
345,piramukar,பிரமுகர்,"பிரமுகர்
"
346,idaodhikkeedu,இடஒதுக்கீடு,"இடோதிக்கீடு
"
347,vaelaigalum,வேலைகளும்,"வேலைகளும்
"
348,koottangalukku,கூட்டங்களுக்கு,"கூட்டங்களுக்கு
"
349,mahaveerar,மகாவீரர்,"மஹவீரர்
"
350,bula,போலா,"புலா
"
351,aaivukku,ஆய்வுக்கு,"ஆய்வுக்கு
"
352,koottangalai,கூட்டங்களை,"கூட்டங்களை
"
353,passaic,பசாய்க்,"பா்சாக்
"
354,asoq,அசோகா,"அசோக்
"
355,gouuld,கோல்ட்,"கோுு்்
"
356,ullatakkum,உள்ளடக்கும்,"உள்ளடக்கும்
"
357,thayaarippathundu,தயாரிப்பதுண்டு,"தயாரிப்பதுண்டு
"
358,inththiyaavirkul,இந்தியாவிற்குள்,"இந்தியாவிற்குள்
"
359,araku,அரக்கு,"அரகு
"
360,narambugalai,நரம்புகளை,"நரம்புகளை
"
361,panigalukkup,பணிகளுக்குப்,"பணிகளுக்குப்
"
362,okay,ஓகே,"ஒக்யி
"
363,nigalvugazhaiyum,நிகழ்வுகளையும்,"நிகல்வுகழையும்
"
364,irukkinroom,இருக்கின்றோம்,"இருக்கின்றூம்
"
365,aazhthulai,ஆழ்துளை,"ஆழ்துலை
"
366,kalvikkaana,கல்விக்கான,"கல்விக்கான
"
367,kovai,கோவை,"கோவை
"
368,alaiyum,அலையும்,"அலையும்
"
369,kulithu,குளித்து,குளித்து
370,odisii,ஒடிசி,"ஒடிசிிி
"
371,sedhamadaindhu,சேதமடைந்தது,"செதமடைந்து
"
372,yeraalam,ஏராளம்,"யராளம்
"
373,tokaiyin,தொகையின்,"டோகைகின்
"
374,arignargalinaalum,அறிஞர்களினாலும்,"அறிகர்களினாலுமும்
"
375,cheyalmuraiku,செயல்முறைக்கு,செயல்முறைகுகு
376,vidhiththu,விதித்து,"விதித்து
"
377,kontiruntha,உறங்கிக்,"கொண்டிருந்த
"
378,kuudum,கூடும்,"குடும்
"
379,thamizhakatthilirundhu,தமிழகத்திலிருந்து,"தமிழகத்திலிருந்து
"
380,vilaiyaaduthal,விளையாடுதல்,"விளையாடுதல்
"
381,maddox,மட்டோக்ஸ்,"மட்டோக்க்
"
382,vaangguthal,வாங்குதல்,"வாங்குதல்
"
383,cheyn,செயின்,"செய்ன்
"
384,puriginrana,புரிகின்றன,"புரிகின்றன
"
385,aathmaa,ஆத்மா,"ஆத்மா
"
386,kitantanar,கிடந்தனர்,"கிட்டன்டனர்
"
387,kettathu,கேட்டது,"கெட்டது
"
388,alavugal,அளவுகள்,"அலவுகள்
"
389,ganeebaa,கனீபா,"கணீபா
"
390,kidaikkinra,கிடைக்கின்ற,"கிடைக்கின்ற
"
391,seetu,சிட்டு,"சீட்டு
"
392,syriyap,சிரியப்,"ச்ரீயாப்
"
393,masuuthiyai,மசூதியை,"மசுுததயைை
"
394,akkanitha,அக்கணித,"அக்கணித
"
395,jallian,ஜாலியன்,ஜல்லியான்
396,yerpaduvathudan,ஏற்படுவதுடன்,"யர்படுவதுடன்
"
397,ahmedabadil,அகமதாபாத்தில்,"அம்மெடபடில்
"
398,ennaa,என்னா,"எண்ணா
"
399,saraikela,சரைகேலா,"சரைகேகல
"
400,veliyaagiyirundhaal,வெளியாகியிருந்தால்,"வெளியாகியிருந்தால்
"
401,valanguvathai,வழங்குவதை,"வலங்குவதை
"
402,rishiraj,ரிஷிராஜ்,"ரிஷிராஜ்
"
403,mandaavar,மண்டாவர்,"மண்டாவர்
"
404,nawin,நவீன்,"நாவின்
"
405,venmaippuratchiyin,வெண்மைப்புரட்சியின்,"வெண்மைப்புறட்சியின்
"
406,thalaivarai,தலைவரை,"தலைவரை
"
407,suvaachiththirukkum,சுவாசித்திருக்கும்,"சுவாசித்திருக்கும்
"
408,vadamaagaana,வடமாகாண,"வடமாகான
"
409,nyaayirandru,ஞாயிறன்று,"ஞாயிரன்று
"
410,cankath,சங்கத்,"கா்கத்
"
411,iraingaaname,இறைஞானமே,"இரைங்காணமே
"
412,kolupil,கொழுப்பில்,"கொலுபில்
"
413,nadunilaip,நடுநிலைப்,"நடுநிலைப்
"
414,webster,வெப்ஸ்டர்,"வெப்்்டர்
"
415,ramon,ரமோன்,"ராமோ்்
"
416,vaakanangkalin,வாகனங்களின்,"வாகணங்களின்
"
417,kaalanigal,காலணிகள்,"காலணிகள்
"
418,aanthai,ஆந்தை,"ஆந்தை
"
419,avarooda,அவரோட,"அவரூட
"
420,mcdowell,மெக்டோவெல்,"மெ்ட்வால்ல்
"
421,seiyyappattapothu,செய்யப்பட்டபோது,"செய்யப்பட்டபோதுது
"
422,pugaaril,புகாரில்,"புகாரில்
"
423,sengkuththaana,செங்குத்தான,"செங்குத்தான
"
424,magatha,மகத,"மகத
"
425,infraprojects,இன்ஃப்ராபிராஜெக்ட்ஸ்,"இன்ப்ரப்ரரர்்்்்்்
"
426,vanurti,உலங்கு,வனுர்ட்டி
427,thadangkalil,தடங்களில்,"தடங்களில்
"
428,kulaththirku,குளத்திற்கு,"குலத்திற்கு
"
429,durgai,துர்க்கை,"துர்கை
"
430,bee,பீ,"பீ
"
431,kabulil,காபூலில்,"கபுலில்
"
432,madala,மடலா,"மடல
"
433,shashthrigal,சாஸ்திரிகள்,"ஷஷ்திரிகள்
"
434,nadandhabothu,நடந்தபோது,"நடந்தபோது
"
435,raenjch,ரேஞ்ச்,"ரேஞ்ச்
"
436,kolhapur,கோலாபூர்,"கொல்ஹபூர்
"
437,irusakkara,இருசக்கர,"இருசக்கரா
"
438,church,சர்ச்,"சுர்ச்
"
439,velip,வெளிப்,"வெளிப்
"
440,asramm,ஆசிரமம்,"அர்ராம்ம்
"
441,overgal,ஓவர்கள்,"ஒவர்கள்
"
442,nalliravu,நள்ளிரவு,"நல்லிரவு
"
443,baarathiyaar,பாரதியார்,"பாரதியார்
"
444,athishta,அதிஷ்ட,"அதிஷ்டா
"
445,poaraan,போரான்,"போரான்
"
446,vaerldu,வேர்ல்டு,"வேர்ல்டு
"
447,glycols,க்ளைகால்ஸ்,"கிள்க்கோ்்
"
448,ariyum,அறியும்,"அறியும்
"
449,swamigalaippatri,சுவாமிகளைப்பற்றி,சுவாமமககைப்பற்ிி
450,seyint,செயிண்ட்,"செயின்ட்
"
451,bareli,பரேலி,"பாரலி
"
452,vaangavum,வாங்கவும்,"வாங்கவும்
"
453,edukkumaaru,எடுக்குமாறு,"எடுக்குமாறு
"
454,kandippa,கண்டிப்பா,"கண்டிப்பா
"
455,madgaon,மட்காவுன்,"மா்கோன்
"
456,uththiyogaththil,உத்தியோகத்தில்,"உத்தியோகத்தில்
"
457,pukazhpettravai,புகழ்பெற்றவை,"புகழ்பெற்றவை
"
458,tinsukia,டின்சுகியா,"தின்சுகிகா
"
459,ashraf,அஷ்ரஃப்,"அஷ்ரா்்
"
